Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_status,education
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,False,False,False,False,False,False,True,63,2822,s,g
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,False,False,False,False,False,False,False,66,2272,s,g
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,False,False,False,False,False,False,False,55,2471,t,g
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,False,False,False,False,False,False,False,36,2298,t,g
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,False,False,False,False,False,False,False,39,2320,m,p
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,False,False,False,False,False,False,False,53,2452,t,m
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,False,False,False,False,False,False,False,49,2752,d,g
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,False,False,False,False,False,False,False,35,2576,m,p
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,False,False,False,False,False,False,True,46,2547,t,p
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,True,False,False,False,False,False,False,70,2267,t,p
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,False,False,False,False,False,False,False,44,2752,m,b
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,False,False,False,False,False,False,False,61,2385,d,g
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,False,False,False,False,False,False,False,68,2385,d,m
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,False,False,False,False,False,False,False,33,2786,m,g
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,False,False,True,True,False,False,True,74,2741,s,p
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,False,False,False,False,False,False,False,40,2711,m,g
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,False,False,False,False,False,False,False,74,2826,t,g
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,False,False,False,True,False,False,False,71,2617,m,m
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,False,False,False,False,False,False,False,35,2762,s,2
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,False,False,False,False,False,False,False,38,2849,m,g
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,False,False,False,False,False,False,False,41,2698,m,g
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,False,True,False,False,False,False,False,71,2712,m,p
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,False,False,False,False,False,False,False,66,2328,m,p
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,False,False,False,False,False,False,False,69,2627,t,g
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,False,False,False,False,False,False,False,51,2702,s,g
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,False,False,False,False,False,False,False,44,2557,m,g
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,False,False,False,False,False,False,False,31,2553,m,g
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,False,False,True,False,False,False,False,55,2378,m,p
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,False,False,False,False,False,False,False,31,2197,d,m
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,False,False,False,False,False,False,False,57,2573,t,m
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,False,True,False,False,False,False,False,50,2786,t,g
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,False,False,False,False,False,False,True,68,2767,d,p
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,False,False,False,False,False,False,False,74,2653,m,m
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,False,False,False,False,False,False,False,69,2463,s,m
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,False,False,False,False,False,False,False,50,2339,m,p
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,False,False,False,False,False,False,False,44,2459,m,2
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,False,False,False,False,False,False,False,47,2297,w,g
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,True,False,False,False,False,False,True,77,2672,d,p
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,False,False,False,False,False,False,False,40,2585,m,g
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,False,False,False,False,False,False,False,35,2633,m,m
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,False,63,2711,t,g
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,False,False,False,False,False,False,False,45,2429,m,m
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,False,False,False,False,False,False,False,44,2160,s,g
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,False,False,False,False,False,False,True,24,2756,m,2
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,False,False,False,False,False,False,False,52,2560,t,g
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,False,False,False,False,False,False,False,66,2757,m,p
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,False,False,False,False,False,False,False,63,2207,w,g
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,False,False,False,False,False,False,False,56,2846,m,m
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,False,False,False,False,False,False,False,43,2702,s,g
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,True,False,False,True,False,False,True,43,2181,d,g
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,False,False,False,False,False,False,False,42,2541,m,g
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,False,False,True,False,False,False,True,65,2746,t,m
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,False,False,False,False,False,False,True,54,2612,d,g
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,False,False,False,False,False,False,False,32,2221,s,g
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,False,False,False,False,False,False,False,52,2277,m,p
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,False,True,True,False,False,False,True,38,2519,s,m
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,False,False,False,False,False,False,False,45,2819,t,g
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,False,False,False,False,False,False,False,68,2655,s,g
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,False,False,False,False,False,False,False,69,2542,w,p
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,False,False,False,False,False,False,False,72,2364,t,g
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,False,False,False,False,False,False,True,49,2563,m,g
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,False,False,False,False,False,False,False,53,2208,t,g
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,True,False,False,True,False,False,True,41,2261,s,2
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,False,False,False,False,False,False,False,62,2434,t,g
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,False,False,False,False,False,False,False,50,2606,t,g
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,False,False,False,False,False,False,False,66,2815,m,m
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,False,False,False,False,False,False,False,61,2628,m,g
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,False,True,False,False,False,False,False,45,2609,m,p
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,False,False,False,False,False,False,False,68,2219,m,g
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,False,False,False,False,False,False,False,43,2716,d,g
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,False,False,False,False,False,False,True,48,2830,m,m
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,True,False,False,False,False,False,True,44,2784,s,g
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,False,False,False,False,False,True,False,44,2457,t,2
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,True,False,False,False,False,False,True,55,2702,t,g
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,False,False,False,False,False,False,False,35,2828,s,g
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,False,False,False,False,False,False,False,51,2530,m,g
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,False,False,False,False,False,False,False,47,2520,m,2
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,False,False,False,False,False,False,False,33,2283,d,g
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,False,False,False,False,False,False,False,60,2481,m,g
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,False,True,False,False,False,False,False,50,2507,m,m
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,False,True,False,True,False,False,True,63,2191,s,g
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,False,False,True,False,False,False,False,47,2207,m,g
