Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,TotPurchases,AcceptedCmps,Complain,Response,Age,Customer_Days
58138.0,58,635,88,546,172,88,3,22,0,False,True,63,2822
46344.0,38,11,1,6,2,1,2,4,0,False,False,66,2272
71613.0,26,426,49,127,111,21,1,20,0,False,False,55,2471
26646.0,26,11,4,20,10,3,2,6,0,False,False,36,2298
58293.0,94,173,43,118,46,27,5,14,0,False,False,39,2320
62513.0,16,520,42,98,0,42,2,20,0,False,False,53,2452
55635.0,34,235,65,164,50,49,4,17,0,False,False,49,2752
33454.0,32,76,10,56,3,1,2,8,0,False,False,35,2576
30351.0,19,14,0,24,3,3,1,5,0,False,True,46,2547
5648.0,68,28,0,6,1,1,1,1,3,False,False,70,2267
7500.0,59,6,16,11,11,1,1,5,0,False,False,44,2752
63033.0,82,194,61,480,225,112,1,15,0,False,False,61,2385
59354.0,53,233,2,53,3,5,3,12,0,False,False,68,2385
17323.0,38,3,14,17,6,1,1,4,0,False,False,33,2786
82800.0,23,1006,22,115,59,68,1,25,1,False,True,74,2741
41850.0,51,53,5,19,2,13,3,6,0,False,False,40,2711
37760.0,20,84,5,38,150,12,2,11,0,False,False,74,2826
76995.0,91,1012,80,498,0,16,2,24,1,False,False,71,2617
33812.0,86,4,17,19,30,24,2,6,0,False,False,35,2762
37040.0,41,86,2,73,69,38,1,11,0,False,False,38,2849
2447.0,42,1,1,1725,1,1,15,28,0,False,False,41,2698
58607.0,63,867,0,86,0,0,3,14,4,False,False,71,2712
65324.0,0,384,0,102,21,32,3,17,0,False,False,66,2328
40689.0,69,270,3,27,39,6,7,13,0,False,False,69,2627
18589.0,89,6,4,25,15,12,2,6,0,False,False,51,2702
53359.0,4,173,4,30,3,6,4,10,0,False,False,44,2557
38360.0,26,36,2,42,20,21,2,7,0,False,False,31,2553
84618.0,96,684,100,801,21,66,1,25,5,False,False,55,2378
10979.0,34,8,4,10,2,2,2,6,0,False,False,31,2197
38620.0,56,112,17,44,34,22,1,10,0,False,False,57,2573
40548.0,31,110,0,5,2,0,2,7,4,False,False,50,2786
46610.0,8,96,12,96,33,22,6,11,0,False,True,68,2767
68657.0,4,482,34,471,119,68,1,17,0,False,False,74,2653
49389.0,55,40,0,19,2,1,1,5,0,False,False,69,2463
67353.0,37,702,17,151,0,8,5,23,0,False,False,50,2339
23718.0,76,6,3,14,15,7,3,6,0,False,False,44,2459
42429.0,99,55,0,6,2,0,2,5,0,False,False,47,2297
48948.0,53,437,8,206,160,49,2,22,3,False,True,77,2672
80011.0,3,421,76,536,82,178,2,19,0,False,False,40,2585
20559.0,88,13,1,29,3,0,2,5,0,False,False,35,2633
21994.0,4,9,0,6,3,1,1,3,0,False,False,63,2711
7500.0,19,3,1,10,3,2,3,5,0,False,False,45,2429
79941.0,72,123,164,266,227,30,1,15,0,False,False,44,2160
7500.0,24,3,18,14,15,22,3,7,0,False,True,24,2756
41728.0,92,13,6,15,3,5,1,4,0,False,False,52,2560
72550.0,39,826,50,317,50,38,9,19,0,False,False,66,2757
65486.0,29,245,19,125,37,67,1,16,0,False,False,63,2207
79143.0,2,650,37,780,27,167,1,28,0,False,False,56,2846
